1738528020	0,000	unknown
1738528020	75,000	discharging
1738528194	0,000	unknown
1738528194	75,000	discharging
1738528349	74,000	discharging
1738528559	73,000	discharging
1738557199	0,000	unknown
1738557199	73,000	discharging
1738557444	72,000	discharging
1738560295	0,000	unknown
1738560295	72,000	discharging
1738560359	71,000	discharging
1738560569	70,000	discharging
1738560750	69,000	discharging
1738560960	68,000	discharging
1738561080	67,000	discharging
1738561320	66,000	discharging
1738561561	65,000	discharging
1738563316	66,000	charging
1738563436	67,000	charging
1738563526	68,000	charging
1738563586	69,000	charging
1738563646	70,000	charging
1738563706	71,000	charging
1738563796	72,000	charging
1738563856	73,000	charging
1738563946	74,000	charging
1738564036	75,000	charging
1738564126	76,000	charging
1738564217	77,000	charging
1738564308	78,000	charging
1738564398	79,000	charging
1738564488	80,000	charging
1738564597	81,000	charging
1738564717	82,000	charging
1738564837	83,000	charging
1738564958	84,000	charging
1738565138	85,000	charging
1738565288	86,000	charging
1738565438	87,000	charging
1738565618	88,000	charging
1738565768	89,000	charging
1738565979	90,000	charging
1738566159	91,000	charging
1738566399	92,000	charging
1738566639	93,000	charging
1738566940	94,000	charging
1738567240	95,000	charging
1738567600	96,000	charging
1738569368	95,000	discharging
1738569638	94,000	discharging
1738569968	93,000	discharging
1738570209	92,000	discharging
1738571420	91,000	discharging
1738571760	90,000	discharging
1738571865	0,000	unknown
1738571865	90,000	discharging
1738572050	89,000	discharging
1738572321	0,000	unknown
1738572321	88,000	discharging
1738572596	87,000	discharging
1738572986	86,000	discharging
1738573287	85,000	discharging
1738573617	84,000	discharging
1738573948	83,000	discharging
1738574308	82,000	discharging
1738574578	81,000	discharging
1738574773	0,000	unknown
1738574773	81,000	discharging
1738574898	80,000	discharging
1738575209	79,000	discharging
1738575449	78,000	discharging
1738575629	77,000	discharging
1738575929	76,000	discharging
1738576350	75,000	discharging
1738576680	74,000	discharging
1738576950	73,000	discharging
1738577281	72,000	discharging
1738577552	71,000	discharging
1738577702	70,000	discharging
1738577942	69,000	discharging
1738578242	68,000	discharging
1738578483	67,000	discharging
1738578783	66,000	discharging
1738579023	65,000	discharging
1738579205	64,000	discharging
1738579295	63,000	discharging
1738579385	62,000	discharging
1738579604	61,000	discharging
1738579871	60,000	discharging
1738580171	59,000	discharging
1738580472	58,000	discharging
1738580742	57,000	discharging
1738581013	56,000	discharging
1738581223	55,000	discharging
1738581313	54,000	discharging
1738581433	53,000	discharging
1738581553	52,000	discharging
1738582921	0,000	unknown
1738582921	52,000	discharging
1738583016	51,000	discharging
1738583136	50,000	discharging
1738583226	49,000	discharging
1738583303	50,000	charging
1738583423	51,000	charging
1738583483	52,000	charging
1738583543	53,000	charging
1738583634	54,000	charging
1738583694	55,000	charging
1738583754	56,000	charging
1738583814	57,000	charging
1738583874	58,000	charging
1738583934	59,000	charging
1738583994	60,000	charging
1738584054	61,000	charging
1738589690	92,000	discharging
1738589767	0,000	unknown
1738589767	92,000	discharging
1738589922	91,000	discharging
1738591933	90,000	discharging
1738592324	89,000	discharging
1738592624	88,000	discharging
1738594333	0,000	unknown
1738594333	88,000	discharging
1738594429	87,000	discharging
1738597602	86,000	discharging
1738597852	85,000	discharging
1738598062	84,000	discharging
1738598483	83,000	discharging
1738599023	82,000	discharging
1738599324	81,000	discharging
1738599624	80,000	discharging
1738599863	79,000	discharging
1738600103	78,000	discharging
1738600313	77,000	discharging
1738600523	76,000	discharging
1738600764	75,000	discharging
1738600914	74,000	discharging
1738601034	73,000	discharging
1738601214	72,000	discharging
1738601364	71,000	discharging
1738601605	70,000	discharging
1738601695	69,000	discharging
1738601815	68,000	discharging
1738601905	67,000	discharging
1738602025	66,000	discharging
1738602206	65,000	discharging
1738602296	64,000	discharging
1738602386	63,000	discharging
1738602506	62,000	discharging
1738602596	61,000	discharging
1738602686	60,000	discharging
1738602776	59,000	discharging
1738602896	58,000	discharging
1738602986	57,000	discharging
1738603107	56,000	discharging
1738603197	55,000	discharging
1738603287	54,000	discharging
1738603377	53,000	discharging
